순위,코인코드,코인명,현재가,추천등급,와인스타인지점,미너비니지점,미너비니베이스,변동성축소비율,거래량축소비율,최근거래량증가(배),150일선이격도,종합점수
1,KRW-JST,저스트,148.0,매수,2차 진입 (지선 눌림목),1차 진입 (VCP 압축 완료),2,0.31,0.44,0.2,119.8,60
2,KRW-ONDO,온도파이낸스,493.0,매수,1차 진입 (돌파 초입),1차 진입 (VCP 압축 완료),1,0.69,0.78,0.56,101.5,50
3,KRW-AWE,에이더블유이,82.4,매수,1차 진입 (돌파 초입),1차 진입 (VCP 압축 완료),1,0.38,0.39,0.37,101.6,50
4,KRW-KAITO,카이토,1141.0,매수,3차 진입 (추격 매수 주의),1차 진입 (VCP 압축 완료),1,0.61,0.69,0.19,138.9,40
5,KRW-UNI,유니스왑,5630.0,약한매수,3차 진입 (상승 추세 진행),대기 및 추세 관망,1,0.75,1.24,0.76,112.9,10
6,KRW-MMT,모멘텀,283.0,약한매수,3차 진입 (추격 매수 주의),대기 및 추세 관망,1,2.21,10.15,0.9,134.7,0
7,KRW-PUMP,펌프펀,3.19,약한매수,3차 진입 (상승 추세 진행),대기 및 추세 관망,1,0.71,1.46,0.72,122.0,0
